unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1675940400,2023-02-09 11:00:00,BTC/USDT,22702,22728,22673,22673,0.52565506,11918.177175379999
1675936800,2023-02-09 10:00:00,BTC/USDT,22742,22742,22681,22697,0.81479395,18493.37828315
1675933200,2023-02-09 09:00:00,BTC/USDT,22736,22745,22684,22734,3.42035662,77758.38739908
1675929600,2023-02-09 08:00:00,BTC/USDT,22680,22768,22674,22727,1.98709975,45160.81601825
1675926000,2023-02-09 07:00:00,BTC/USDT,22720,22729,22658,22670,5.62745870,127574.488729
1675922400,2023-02-09 06:00:00,BTC/USDT,22607,22722,22587,22708,3.18013802,72214.57415816
1675918800,2023-02-09 05:00:00,BTC/USDT,22573,22629,22543,22608,5.33552522,120625.55417376
1675915200,2023-02-09 04:00:00,BTC/USDT,22505,22602,22375,22572,8.81255563,198917.00568036002
1675911600,2023-02-09 03:00:00,BTC/USDT,22759,22759,22447,22517,8.05067621,181277.07622057002
1675908000,2023-02-09 02:00:00,BTC/USDT,22948,22948,22819,22819,11.16874573,254859.60881287
1675904400,2023-02-09 01:00:00,BTC/USDT,22979,22987,22946,22953,1.17168452,26893.674787559998
1675900800,2023-02-09 00:00:00,BTC/USDT,22962,23006,22937,22982,3.18528911,73204.31432602
1675897200,2023-02-08 23:00:00,BTC/USDT,22881,22959,22881,22959,3.59499491,82537.48813869
1675893600,2023-02-08 22:00:00,BTC/USDT,22954,22974,22954,22968,0.04136999,950.18593032
1675890000,2023-02-08 21:00:00,BTC/USDT,22837,22960,22837,22960,0.15427038,3542.0479248
1675886400,2023-02-08 20:00:00,BTC/USDT,22822,22895,22795,22845,1.12214434,25635.3874473
1675882800,2023-02-08 19:00:00,BTC/USDT,22892,22899,22847,22869,0.41063471,9390.80518299
1675879200,2023-02-08 18:00:00,BTC/USDT,22994,23012,22867,22877,0.50337395,11515.685854149999
1675875600,2023-02-08 17:00:00,BTC/USDT,22949,22992,22919,22941,0.11036044,2531.77885404
1675872000,2023-02-08 16:00:00,BTC/USDT,22858,22935,22700,22935,0.42874506,9833.2679511
1675868400,2023-02-08 15:00:00,BTC/USDT,23011,23011,22873,22873,0.29908168,6840.89526664
1675864800,2023-02-08 14:00:00,BTC/USDT,23074,23074,23074,23074,0.03811709,879.51373466
1675861200,2023-02-08 13:00:00,BTC/USDT,23097,23101,23093,23093,0.17875232,4127.92732576
1675857600,2023-02-08 12:00:00,BTC/USDT,23179,23179,23113,23113,0.03965757,916.6054154100001
1675854000,2023-02-08 11:00:00,BTC/USDT,23167,23171,23165,23165,0.20246210,4690.0345465
1675850400,2023-02-08 10:00:00,BTC/USDT,23191,23191,23167,23175,0.06612940,1532.548845
1675846800,2023-02-08 09:00:00,BTC/USDT,23224,23224,23198,23217,0.01422283,330.21144411
1675843200,2023-02-08 08:00:00,BTC/USDT,23240,23240,23202,23215,0.15597260,3620.9039089999997
1675839600,2023-02-08 07:00:00,BTC/USDT,23207,23207,23207,23207,0.00065297,15.15347479
1675836000,2023-02-08 06:00:00,BTC/USDT,23202,23226,23202,23226,0.00629593,146.22927018
1675832400,2023-02-08 05:00:00,BTC/USDT,23245,23245,23197,23197,0.15222716,3531.21343052
1675828800,2023-02-08 04:00:00,BTC/USDT,23258,23258,23242,23242,2.76110710,64173.65121819999
1675825200,2023-02-08 03:00:00,BTC/USDT,23256,23280,23253,23280,0.03519396,819.3153888
1675821600,2023-02-08 02:00:00,BTC/USDT,23292,23298,23280,23280,0.04720545,1098.942876
1675818000,2023-02-08 01:00:00,BTC/USDT,23400,23409,23314,23314,0.30000000,6994.2
1675814400,2023-02-08 00:00:00,BTC/USDT,23300,23330,23300,23326,0.22523542,5253.84140692
1675810800,2023-02-07 23:00:00,BTC/USDT,23260,23289,23248,23289,0.07147637,1664.61318093
1675807200,2023-02-07 22:00:00,BTC/USDT,23166,23248,23166,23248,0.30349548,7055.66291904
1675803600,2023-02-07 21:00:00,BTC/USDT,23242,23263,23204,23216,0.27047850,6279.428856
1675800000,2023-02-07 20:00:00,BTC/USDT,23081,23240,23054,23240,0.03431641,797.5133684
1675796400,2023-02-07 19:00:00,BTC/USDT,22968,23105,22968,23082,0.33274084,7680.32406888
1675792800,2023-02-07 18:00:00,BTC/USDT,23282,23282,22780,22896,2.01486457,46132.33919472
1675789200,2023-02-07 17:00:00,BTC/USDT,22920,23328,22904,23294,5.38658317,125475.06836198
